CPU_Power(W),DRAM_Power(W),Time(S),
57.09,12.7,19.992261, 
56.22,12.55,20.012865, 
57.66,12.1,20.034347, 
55.43,12.79,20.056094, 
59.25,12.6,20.076145, 
56.24,12.04,20.096472, 
55.39,12.66,20.118246, 
57.68,12.15,20.139767, 
56.97,12.72,20.159649, 
57.07,12.34,20.180147, 
54.8,12.54,20.201924, 
57.47,12.94,20.223716, 
59.88,12.71,20.24349, 
57.29,12.13,20.263909, 
55.51,12.53,20.285764, 
58.7,12.23,20.307366, 
58.43,12.59,20.327435, 
56.46,12.4,20.348027, 
56.62,11.69,20.369821, 
57.94,12.65,20.391635, 
57.26,12.46,20.411407, 
57.88,12.42,20.431828, 
55.83,12.62,20.453562, 
60.77,12.76,20.473444, 
56.97,12.27,20.494247, 
58.12,11.83,20.515607, 
56.69,12.34,20.537057, 
58.13,12.77,20.557092, 
58.1,12.19,20.577985, 
56.87,13,20.599372, 
58.2,12.41,20.620106, 
58,12.3,20.640517, 
